URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/7745;02/0026;2;15/03/2021;"Finnjoist I-joist, FJI";"Composite wood-based beams and columns";"Metsäliitto Cooperative Metsä Wood, Building Products";"UK Kings Lynn, Cross Bank Road";"PE30 2HD";"Kings Lynn, Norfolk";"United Kingdom";Eurofins;"EAD 130367-00-0304";1999/0092/EC;1
https://www.eota.eu/etassessments/659;03/0015;1;17/08/2015;"Honka Log House";"TIMBER BUILDING KITS used as an EAD";"Honkarakenne Oyj";"Karstulan tehdasn Hongantie 41";FI-43500;Karstula;Finland;Eurofins;"ETAG 007 used as EAD";1999/0455/EC;1
https://www.eota.eu/etassessments/2440;04/0022;1;22/02/2016;Inopanne;"Light composite wood-based beams & columns used as an EAD";"France Poutres";"2 rue Louis Blériot ZA";"FR- 85190";Venensault;France;CSTB;"ETAG 011 used as EAD";1999/0092/EC;1
https://www.eota.eu/etassessments/3820;06/0009;3;26/09/2022;"Binderholz Brettsperrholz BBS";"SOLID WOOD SLAB ELEMENT TO BE USED AS A STRUCTURAL ELEMENT IN BUILDINGS";"Binderholz Bausysteme GmbH";"Zillertalstraße 39";6263;FÜGEN;Austria;DIBt;"EAD 130005-00-0304";1997/0176/EC;1
https://www.eota.eu/etassessments/10446;06/0106;6;08/04/2021;"Simpson Strong-Tie Angle Brackets, See type numbers in section II.1 of the ETA";"Three dimensional nailing plates";"Simpson Strong-Tie Int. Ltd";"Winchester Road, Cardinal Point, Tamworth";"B78 3HG";Staffordshire;"United Kingdom";ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/12293;06/0138;2;17/01/2021;"KLH® - CLT";"Solid wood slab element to be used as a structural element in buildings";"KLH Massivholz GmbH";"Katsch an der Mur 202";8842;Teufenbach-Katsch;Austria;OIB;"EAD 130005-00-0304";2001/0596/EC;1
https://www.eota.eu/etassessments/6246;06/0164;1;18/01/2018;Poutralpha;"Light composite wood-based beams used as an EAD";"MERLOT SAS";"10, rue du champs des Bordes";FR-86100;Chatellerault;France;CSTB;"ETAG 011 used as EAD";1999/0092/EC;1
https://www.eota.eu/etassessments/10203;06/0270;6;06/05/2024;"Simpson Strong-Tie Joist Hangers";"Three dimensional nailing plates";"Simpson Strong-Tie Int. Ltd";"Winchester Road, Cardinal Point, Tamworth";"B78 3HG";Staffordshire;"United Kingdom";ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/7233;07/0001;1;26/08/2018;Panel-One;"Prefabricated wood-based loadbearing stressed skin panels used as an EAD";"Ari Griffner Patentholding KG";"Hartelsberg 26";9421;Eitweg;Austria;OIB;"ETAG 019 used as EAD";2000/0447/EC;1
https://www.eota.eu/etassessments/5688;07/0029;2;30/08/2021;"Kerto Ripa Elements";"Pre-fabricated wood-based loadbearing stressed skin panels";"Metsäliitto Cooperative, Metsä Wood";"P.O.Box 24";FI-08101;Lohja;Finland;Eurofins;"EAD 140022-00-0304";1997/0176/EC;1
https://www.eota.eu/etassessments/6728;07/0038;1;20/02/2018;"Poutre TRICA";"Light composite wood-based beams and columns used as an EAD";"TRICA Charpente Développement";"Les Bruyères Saint-André de Messei";FR-61440;Messei;France;CSTB;"ETAG 011 used as EAD";1999/0092/EC;1
https://www.eota.eu/etassessments/7529;07/0053;1;25/04/2018;"Simpson Strong-Tie Cantilever brackets";"Three Dimensional Nailing Plates used as an EAD";"Simpson Strong-Tie Int. Ltd";"Winchester Road, Cardinal Point, Tamworth";"B78 3HG";Staffordshire;"United Kingdom";ETA-DK;"ETAG 015 used as EAD";1997/0638/EC
https://www.eota.eu/etassessments/5950;07/0119;2;14/03/2021;"Danhaus homes";"Timber building kits";"Danhaus Production A/S";"Skagerrakvej 8";DK-6715;"Esbjerg N";Denmark;ETA-DK;"EAD 340308-00-0203";1999/0455/EC;1
