URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/3559;00/0003;1;02/06/2016;"NOOD trap mounted in gully type PURUS ODEN, FLEX, VÅGE, BRAGE, LOKE, S/50 L MA, LOD, SI¬GYN, SIGEX, BALDER or BALDEX";"TRAPPED GULLY – REMOVABLE – MECHANICAL CLOSURE";"Purus ab";"Södergatan 7";S-27521;Sjöbo;Sweden;ETA-DK;"EAD 180008-00-0704";2000/0273/EC
https://www.eota.eu/etassessments/3167;01/0001;1;02/06/2016;SISMO®;"Permanent insulating shuttering kit for whole buildings";"SISMO N.V.";"Drapstraat 1";9270;"Kalken – Laarne";Belgium;UBAtc;"EAD 340024-00-0103";1998/0279/EC;"1, 2+"
https://www.eota.eu/etassessments/3762;01/0002;1;27/11/2016;"Eltete cubical partition systems for sanitary applications";"Internal Partition Kits used as an EAD";"Eltete Oy/Ab";"Box 94";FI-07901;Loviisa;Finland;Eurofins;"ETAG 003 used as EAD";1998/0213/EC;3
https://www.eota.eu/etassessments/7274;01/0005;2;05/12/2017;"Dow Corning® 993N, DOWSIL™ 993 and DOWSIL™ 895";"Structural Sealant Glazing Systems used as an EAD";"DOW Europe GmbH";"Bachtobelstrasse 3";D-8810;Horgen;Switzerland;UBAtc;"ETAG 002 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/1953;01/0009;1;28/01/2015;"FM 753 A4";"Metal Anchors for Use in Concrete used as an EAD";"FRIULSIDER 3";"Via Trieste,1";"I 33048";"San Giovanni al Natisone (UDINE)";;CSTB;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/8859;01/0011;3;28/03/2019;"Sormat Liebig SuperplusTM self-undercutting anchor";"Mechanical fasteners for use in concrete";"SORMAT OY";"Harjutie 5";21290;Rusko;Finland;CSTB;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/1760;01/0012;1;22/06/2014;"SORMAT PFG LB / SB / ES";"Metal Anchors for Use in Concrete used as an EAD";"SORMAT OY 4";"Harjutie 5";FIN-21290;Rusko;Finland;CSTB;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/15109;01/0013;3;23/05/2022;"Wedge Anchor B / B fvz / B sh / B A2 / B A4 / B HCR";"Mechanical fasteners for use in concrete";"MKT Metall-Kunststoff-Technik GmbH & Co. KG";"Auf dem Immel 2";67685;Weilerbach;Germany;DIBt;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/1954;01/0014;1;28/01/2015;FM753;"Metal Anchors for Use in Concrete used as an EAD";"FRIULSIDER 3";"Via Trieste,1";"I 33048";"San Giovanni al Natisone (UDINE)";;CSTB;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/7533;01/0016;1;18/06/2018;"Hanf-Dämmwolle „HDW”";"In-situ formed loose fill thermal and/or acoustic insulation products made of vegetable fibres";"Hanffaser Uckermark eG";"Brüssower Allee 88";17291;Prenzlau;Germany;OIB;"EAD 040138-00-1201";1999/0091/EC;3
https://www.eota.eu/etassessments/5709;02/0001;1;09/08/2017;"Würth Fixanchor W-FA/S, W-FA/F, W-FA/A4, W-FA/HCR";"Mechanical fasteners for use in concrete";"Adolf Würth GmbH & Co. KG 5";"Reinhold-Würth-Strasse 12-17";74653;Künzelsau;Germany;DIBt;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/18782;02/0006;5;13/08/2024;"PEIKKO HPM-L anchor bolts";"Cast-in anchor bolt of ribbed reinforcing steel";"Peikko Group Corporation";"Voimakatu 3";15101;Lahti;Finland;DIBt;"EAD 330924-01-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/6448;02/0019;1;08/10/2017;"fischer TERMOZ 8 U, TERMOZ 8 UZ and WS 8 L";"Plastic anchors made of virgin or non-virgin material for fixing of ETICS with rendering";"fischerwerke GmbH & Co. KG 2";"Klaus-Fischer-Strasse 1";72178;Waldachtal;Germany;DIBt;"EAD 330196-01-0604";1997/0463/EC
https://www.eota.eu/etassessments/13496;02/0020;4;31/05/2021;"MKT Drop-in Anchor E / ES";"Mechanical fasteners for use in concrete";"MKT Metall-Kunststoff-Technik GmbH & Co. KG";"Auf dem Immel 2";67685;Weilerbach;Germany;DIBt;"EAD 330232-01-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/11210;02/0022;1;27/07/2020;"Injection system UPM 44";"Bonded fasteners for use in concrete";"Upat Vertriebs GmbH";"Bebelstraße 11";79108;"Freiburg im Breisgau";Germany;DIBt;"EAD 330499-01-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/8311;02/0024;5;01/01/2020;"Injection System fischer FIS V";"Bonded fasteners for use in concrete";"fischerwerke GmbH & Co. KG";"Otto-Hahn-Straße 15";79211;Denzlingen;Germany;DIBt;"EAD 330499-01-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/12858;02/0026;2;15/03/2021;"Finnjoist I-joist, FJI";"Composite wood-based beams and columns";"Metsäliitto Cooperative Metsä Wood, Building Products";"UK Kings Lynn, Cross Bank Road";"PE30 2HD";"Kings Lynn, Norfolk";"United Kingdom";Eurofins;"EAD 130367-00-0304";1999/0092/EC;1
https://www.eota.eu/etassessments/7814;02/0027;3;04/07/2018;"Hilti Safety Anchor HSC-A(R) et HSC-I(R)";"Mechanical fasteners for use in concrete";"HILTI AG";"Feldkircherstrasse 100 Postfach 333";9494;Schaan,;Liechtenstein;CSTB;"EAD 330232-00-0601";1996/0582/EC;1
